File;Step;Nome;Emotion;pitAve;pitDir;pitDyn;pitJit;intAve;intDyn;intJit;spcSlo;spcJit
03a01Fa;Unique;1;Hap;7.843;0.069;47.044;225.261;70.152;123.866;124.783;-24.761;291.425
03a01Fa;Unique;1;Hap;7.843;0.069;47.044;225.261;70.152;123.866;124.783;-24.761;291.425
03a01Nc;Unique;2;Neu;3.106;-1.481;34.479;81.602;77.124;119.133;135.310;-23.003;279.199
03a01Nc;Unique;2;Neu;3.106;-1.481;34.479;81.602;77.124;119.133;135.310;-23.003;279.199
03a01Wa;Unique;3;Ang;11.538;-0.748;39.850;239.541;74.989;119.830;125.678;-11.895;236.128
03a02Fc;Unique;4;Hap;14.277;0.144;40.608;49.205;74.946;139.700;116.640;-21.835;260.228
03a02Fc;Unique;4;Hap;14.277;0.144;40.608;49.205;74.946;139.700;116.640;-21.835;260.228
03a02Nc;Unique;5;Neu;2.779;-0.088;36.414;35.817;78.388;136.579;98.402;-23.546;228.249
03a02Nc;Unique;5;Neu;2.779;-0.088;36.414;35.817;78.388;136.579;98.402;-23.546;228.249
03a02Ta;Unique;6;Sad;0.952;-0.552;32.832;49.909;78.794;68.814;84.168;-26.579;231.741
03a02Ta;Unique;6;Sad;0.952;-0.552;32.832;49.909;78.794;68.814;84.168;-26.579;231.741
03a02Wb;Unique;7;Ang;10.099;0.255;53.830;255.318;71.987;122.662;126.559;-14.212;199.145
03a02Wc;Unique;8;Ang;14.640;-0.849;55.092;304.520;70.945;147.799;187.774;-7.266;225.950
03a04Ad;Unique;9;Fea;14.507;-2.025;62.848;312.140;75.534;138.105;161.663;-17.021;320.762
03a04Ad;Unique;9;Fea;14.507;-2.025;62.848;312.140;75.534;138.105;161.663;-17.021;320.762
03a04Fd;Unique;10;Hap;10.980;-1.137;46.569;34.599;72.555;102.452;138.891;-19.524;353.262
03a04Fd;Unique;10;Hap;10.980;-1.137;46.569;34.599;72.555;102.452;138.891;-19.524;353.262
03a04Lc;Unique;11;Bor;1.092;-0.188;24.335;128.274;74.766;64.655;49.598;-20.210;140.245
03a04Lc;Unique;11;Bor;1.092;-0.188;24.335;128.274;74.766;64.655;49.598;-20.210;140.245
03a04Nc;Unique;12;Neu;1.666;-0.263;40.141;45.790;74.118;147.766;132.240;-18.446;345.596
03a04Nc;Unique;12;Neu;1.666;-0.263;40.141;45.790;74.118;147.766;132.240;-18.446;345.596
03a04Ta;Unique;13;Sad;-1.136;-0.789;30.915;45.678;77.867;55.959;46.787;-21.876;268.835
03a04Ta;Unique;13;Sad;-1.136;-0.789;30.915;45.678;77.867;55.959;46.787;-21.876;268.835
03a04Wc;Unique;14;Ang;15.530;-0.337;49.928;241.626;74.898;139.191;167.740;-10.842;260.153
03a05Aa;Unique;15;Fea;14.007;-0.706;85.523;363.118;75.201;193.033;187.700;-19.254;309.652
03a05Aa;Unique;15;Fea;14.007;-0.706;85.523;363.118;75.201;193.033;187.700;-19.254;309.652
03a05Fc;Unique;16;Hap;11.662;-1.508;50.947;324.113;75.728;161.582;138.468;-23.989;312.993
03a05Fc;Unique;16;Hap;11.662;-1.508;50.947;324.113;75.728;161.582;138.468;-23.989;312.993
03a05Nd;Unique;17;Neu;3.480;-0.702;46.805;86.754;77.140;158.367;128.839;-25.468;326.156
03a05Nd;Unique;17;Neu;3.480;-0.702;46.805;86.754;77.140;158.367;128.839;-25.468;326.156
03a05Tc;Unique;18;Sad;0.329;-0.502;44.231;65.730;77.487;114.261;108.254;-29.039;393.742
03a05Tc;Unique;18;Sad;0.329;-0.502;44.231;65.730;77.487;114.261;108.254;-29.039;393.742
03a05Wa;Unique;19;Ang;11.195;0.835;48.116;504.413;73.774;146.226;168.905;-17.978;272.416
03a05Wb;Unique;20;Ang;16.536;0.858;70.195;161.294;73.372;207.033;241.235;-14.027;363.438
03a07Fa;Unique;21;Hap;12.611;-0.145;62.508;317.784;75.179;135.517;108.304;-21.454;238.691
03a07Fa;Unique;21;Hap;12.611;-0.145;62.508;317.784;75.179;135.517;108.304;-21.454;238.691
03a07Fb;Unique;22;Hap;14.623;-1.057;57.737;388.692;75.233;119.064;95.630;-19.617;234.902
03a07Fb;Unique;22;Hap;14.623;-1.057;57.737;388.692;75.233;119.064;95.630;-19.617;234.902
03a07La;Unique;23;Bor;1.432;-0.344;23.690;108.558;77.920;56.908;57.056;-25.596;209.712
03a07La;Unique;23;Bor;1.432;-0.344;23.690;108.558;77.920;56.908;57.056;-25.596;209.712
03a07Nc;Unique;24;Neu;3.276;-0.687;35.285;101.081;79.411;144.602;117.484;-23.906;249.428
03a07Nc;Unique;24;Neu;3.276;-0.687;35.285;101.081;79.411;144.602;117.484;-23.906;249.428
03a07Wc;Unique;25;Ang;16.496;-0.975;46.422;188.301;74.333;185.125;163.336;-12.492;237.723
03b01Fa;Unique;26;Hap;12.808;-0.769;52.155;319.730;77.681;140.706;136.866;-23.271;311.848
03b01Fa;Unique;26;Hap;12.808;-0.769;52.155;319.730;77.681;140.706;136.866;-23.271;311.848
03b01Lb;Unique;27;Bor;3.839;-1.504;31.563;33.359;78.360;115.442;106.504;-22.938;218.530
03b01Lb;Unique;27;Bor;3.839;-1.504;31.563;33.359;78.360;115.442;106.504;-22.938;218.530
03b01Nb;Unique;28;Neu;2.230;-0.798;46.512;59.551;76.028;154.923;121.293;-25.260;333.846
03b01Nb;Unique;28;Neu;2.230;-0.798;46.512;59.551;76.028;154.923;121.293;-25.260;333.846
03b01Td;Unique;29;Sad;4.013;-1.153;85.785;138.491;76.515;69.524;93.170;-27.801;274.080
03b01Td;Unique;29;Sad;4.013;-1.153;85.785;138.491;76.515;69.524;93.170;-27.801;274.080
03b01Wa;Unique;30;Ang;10.635;-1.568;56.776;102.845;73.086;184.093;168.779;-14.414;273.159
03b01Wc;Unique;31;Ang;10.585;-2.063;36.779;75.888;72.709;114.765;119.661;-16.465;234.538
03b02Aa;Unique;32;Fea;11.493;0.168;66.550;260.711;78.323;119.867;115.575;-20.352;214.714
03b02Aa;Unique;32;Fea;11.493;0.168;66.550;260.711;78.323;119.867;115.575;-20.352;214.714
03b02La;Unique;33;Bor;1.687;-0.056;30.206;36.641;75.625;104.247;75.807;-21.806;174.330
03b02La;Unique;33;Bor;1.687;-0.056;30.206;36.641;75.625;104.247;75.807;-21.806;174.330
03b02Na;Unique;34;Neu;1.629;-0.893;32.259;31.992;77.326;98.060;71.048;-20.969;167.387
03b02Na;Unique;34;Neu;1.629;-0.893;32.259;31.992;77.326;98.060;71.048;-20.969;167.387
03b02Tb;Unique;35;Sad;1.282;-0.336;37.001;50.932;76.079;71.732;61.285;-21.653;225.694
03b02Tb;Unique;35;Sad;1.282;-0.336;37.001;50.932;76.079;71.732;61.285;-21.653;225.694
03b02Wb;Unique;36;Ang;9.213;0.572;50.925;267.903;76.134;186.091;173.480;-15.209;195.481
03b03Nb;Unique;37;Neu;4.054;-0.144;46.686;65.389;76.549;134.470;117.617;-22.466;207.092
03b03Nb;Unique;37;Neu;4.054;-0.144;46.686;65.389;76.549;134.470;117.617;-22.466;207.092
03b03Tc;Unique;38;Sad;1.378;-0.615;50.163;84.100;73.814;85.405;81.118;-25.742;325.183
03b03Tc;Unique;38;Sad;1.378;-0.615;50.163;84.100;73.814;85.405;81.118;-25.742;325.183
03b03Wc;Unique;39;Ang;13.830;-0.455;55.072;161.479;72.237;174.428;176.811;-14.351;301.958
03b09La;Unique;40;Bor;1.960;-0.345;32.226;31.463;76.157;100.102;77.399;-20.498;128.547
03b09La;Unique;40;Bor;1.960;-0.345;32.226;31.463;76.157;100.102;77.399;-20.498;128.547
03b09Nc;Unique;41;Neu;3.242;-1.355;26.620;112.092;75.891;110.288;104.264;-22.740;167.987
03b09Nc;Unique;41;Neu;3.242;-1.355;26.620;112.092;75.891;110.288;104.264;-22.740;167.987
03b09Tc;Unique;42;Sad;3.438;-0.313;30.023;45.896;79.176;89.658;85.529;-27.089;238.023
03b09Tc;Unique;42;Sad;3.438;-0.313;30.023;45.896;79.176;89.658;85.529;-27.089;238.023
03b09Wa;Unique;43;Ang;9.544;-0.662;50.403;86.815;71.381;173.207;165.773;-14.673;257.453
03b10Ab;Unique;44;Fea;14.625;-0.991;63.544;391.350;73.048;145.998;148.065;-16.328;254.334
03b10Ab;Unique;44;Fea;14.625;-0.991;63.544;391.350;73.048;145.998;148.065;-16.328;254.334
03b10Ec;Unique;45;Dis;6.326;-0.511;43.081;122.333;75.788;109.480;80.332;-20.727;204.341
03b10Ec;Unique;45;Dis;6.326;-0.511;43.081;122.333;75.788;109.480;80.332;-20.727;204.341
03b10Na;Unique;46;Neu;3.639;-1.226;36.046;110.293;75.502;144.849;120.959;-24.110;217.866
03b10Na;Unique;46;Neu;3.639;-1.226;36.046;110.293;75.502;144.849;120.959;-24.110;217.866
03b10Nc;Unique;47;Neu;4.686;-0.417;33.540;58.672;74.813;93.729;91.205;-25.365;240.179
03b10Nc;Unique;47;Neu;4.686;-0.417;33.540;58.672;74.813;93.729;91.205;-25.365;240.179
03b10Wb;Unique;48;Ang;12.164;-1.779;45.011;180.975;70.682;159.831;187.556;-14.080;255.123
03b10Wc;Unique;49;Ang;14.411;-1.228;49.619;152.254;72.188;172.396;168.545;-12.567;273.883
08a01Ab;Unique;50;Fea;15.624;0.343;45.629;97.273;77.543;101.690;96.776;-21.185;205.431
08a01Ab;Unique;50;Fea;15.624;0.343;45.629;97.273;77.543;101.690;96.776;-21.185;205.431
08a01Fd;Unique;51;Hap;13.369;-1.024;54.785;311.428;82.981;104.253;108.422;-23.213;256.317
08a01Fd;Unique;51;Hap;13.369;-1.024;54.785;311.428;82.981;104.253;108.422;-23.213;256.317
08a01Lc;Unique;52;Bor;11.379;-0.446;24.490;79.114;75.662;78.874;56.725;-21.993;159.706
08a01Lc;Unique;52;Bor;11.379;-0.446;24.490;79.114;75.662;78.874;56.725;-21.993;159.706
08a01Na;Unique;53;Neu;10.668;-0.872;35.124;184.840;77.558;93.398;75.458;-25.274;234.295
08a01Na;Unique;53;Neu;10.668;-0.872;35.124;184.840;77.558;93.398;75.458;-25.274;234.295
08a01Wa;Unique;54;Ang;18.801;-0.548;37.197;30.841;71.409;142.185;144.438;-9.376;260.108
08a01Wc;Unique;55;Ang;22.921;-1.307;50.928;281.528;76.049;163.101;168.455;-6.014;221.569
08a02Ab;Unique;56;Fea;16.024;-0.700;71.538;253.410;76.545;134.374;156.666;-22.151;279.306
08a02Ab;Unique;56;Fea;16.024;-0.700;71.538;253.410;76.545;134.374;156.666;-22.151;279.306
08a02Ac;Unique;57;Fea;15.060;1.045;57.537;192.661;72.401;74.274;84.417;-23.955;243.330
08a02Ac;Unique;57;Fea;15.060;1.045;57.537;192.661;72.401;74.274;84.417;-23.955;243.330
08a02Fe;Unique;58;Hap;13.735;0.084;43.396;111.391;76.792;134.003;139.377;-22.583;242.548
08a02Fe;Unique;58;Hap;13.735;0.084;43.396;111.391;76.792;134.003;139.377;-22.583;242.548
08a02La;Unique;59;Bor;11.018;-1.039;27.150;122.676;79.015;86.198;67.611;-24.052;175.901
08a02La;Unique;59;Bor;11.018;-1.039;27.150;122.676;79.015;86.198;67.611;-24.052;175.901
08a02Na;Unique;60;Neu;11.261;-0.935;31.773;27.891;81.184;107.564;91.395;-28.952;286.075
08a02Na;Unique;60;Neu;11.261;-0.935;31.773;27.891;81.184;107.564;91.395;-28.952;286.075
08a02Tb;Unique;61;Sad;7.605;-1.551;29.459;103.534;83.527;77.189;50.669;-31.734;213.900
08a02Tb;Unique;61;Sad;7.605;-1.551;29.459;103.534;83.527;77.189;50.669;-31.734;213.900
08a02Wc;Unique;62;Ang;19.963;-0.387;47.933;25.847;70.275;126.848;132.736;-11.811;225.904
08a04Ff;Unique;63;Hap;11.938;-0.137;60.542;298.285;72.544;137.073;141.058;-20.772;260.971
08a04Ff;Unique;63;Hap;11.938;-0.137;60.542;298.285;72.544;137.073;141.058;-20.772;260.971
08a04La;Unique;64;Bor;10.496;-1.027;31.013;114.436;78.516;89.149;68.805;-22.201;188.963
08a04La;Unique;64;Bor;10.496;-1.027;31.013;114.436;78.516;89.149;68.805;-22.201;188.963
08a04Nc;Unique;65;Neu;9.389;-0.891;29.475;170.846;77.667;82.497;85.590;-24.038;188.105
08a04Nc;Unique;65;Neu;9.389;-0.891;29.475;170.846;77.667;82.497;85.590;-24.038;188.105
08a04Tb;Unique;66;Sad;8.045;-0.617;31.898;103.468;82.052;76.462;71.948;-32.960;274.199
08a04Tb;Unique;66;Sad;8.045;-0.617;31.898;103.468;82.052;76.462;71.948;-32.960;274.199
08a04Wc;Unique;67;Ang;20.840;-0.361;82.815;319.365;73.854;184.367;182.498;-8.648;242.873
08a05Fe;Unique;68;Hap;17.576;0.054;72.491;193.293;77.271;137.413;123.900;-21.120;339.555
08a05Fe;Unique;68;Hap;17.576;0.054;72.491;193.293;77.271;137.413;123.900;-21.120;339.555
08a05Lc;Unique;69;Bor;12.724;-0.458;42.537;187.986;76.278;109.384;90.615;-26.547;273.236
08a05Lc;Unique;69;Bor;12.724;-0.458;42.537;187.986;76.278;109.384;90.615;-26.547;273.236
08a05Nb;Unique;70;Neu;11.693;-0.887;46.155;266.637;76.239;129.925;130.891;-28.774;308.401
08a05Nb;Unique;70;Neu;11.693;-0.887;46.155;266.637;76.239;129.925;130.891;-28.774;308.401
08a05Ta;Unique;71;Sad;5.805;-0.731;41.611;247.139;80.356;101.247;87.919;-34.588;308.110
08a05Ta;Unique;71;Sad;5.805;-0.731;41.611;247.139;80.356;101.247;87.919;-34.588;308.110
08a05Wa;Unique;72;Ang;20.125;0.114;67.117;237.692;76.705;178.956;188.291;-13.633;338.696
08a07Fd;Unique;73;Hap;16.686;-0.316;53.205;274.104;76.093;156.380;162.061;-22.968;280.051
08a07Fd;Unique;73;Hap;16.686;-0.316;53.205;274.104;76.093;156.380;162.061;-22.968;280.051
08a07La;Unique;74;Bor;10.488;-0.066;48.180;292.885;80.997;89.409;77.434;-29.742;216.141
08a07La;Unique;74;Bor;10.488;-0.066;48.180;292.885;80.997;89.409;77.434;-29.742;216.141
08a07Na;Unique;75;Neu;11.072;-0.800;51.092;280.170;79.703;147.899;129.451;-28.114;275.659
08a07Na;Unique;75;Neu;11.072;-0.800;51.092;280.170;79.703;147.899;129.451;-28.114;275.659
08a07Ta;Unique;76;Sad;7.339;-0.935;41.679;229.041;81.514;155.353;130.269;-33.081;256.791
08a07Ta;Unique;76;Sad;7.339;-0.935;41.679;229.041;81.514;155.353;130.269;-33.081;256.791
08a07Tb;Unique;77;Sad;8.061;-0.008;58.890;337.283;82.144;97.013;96.163;-33.521;230.126
08a07Tb;Unique;77;Sad;8.061;-0.008;58.890;337.283;82.144;97.013;96.163;-33.521;230.126
08a07Wc;Unique;78;Ang;20.981;0.461;79.480;251.014;70.990;187.379;190.406;-16.667;302.165
08b01Aa;Unique;79;Fea;17.295;-0.322;87.027;289.541;76.744;150.709;131.402;-25.678;373.282
08b01Aa;Unique;79;Fea;17.295;-0.322;87.027;289.541;76.744;150.709;131.402;-25.678;373.282
08b01Fd;Unique;80;Hap;13.435;-0.916;50.739;198.019;78.899;157.750;158.031;-22.449;305.892
08b01Fd;Unique;80;Hap;13.435;-0.916;50.739;198.019;78.899;157.750;158.031;-22.449;305.892
08b01Fe;Unique;81;Hap;17.885;-0.118;50.037;56.150;76.563;134.840;145.298;-21.902;349.571
08b01Fe;Unique;81;Hap;17.885;-0.118;50.037;56.150;76.563;134.840;145.298;-21.902;349.571
08b01Lb;Unique;82;Bor;10.252;-0.694;28.623;109.557;79.564;92.238;82.585;-28.906;267.785
08b01Lb;Unique;82;Bor;10.252;-0.694;28.623;109.557;79.564;92.238;82.585;-28.906;267.785
08b01Na;Unique;83;Neu;12.823;-1.140;68.331;565.199;82.250;125.980;136.010;-29.364;380.417
08b01Na;Unique;83;Neu;12.823;-1.140;68.331;565.199;82.250;125.980;136.010;-29.364;380.417
08b01Wa;Unique;84;Ang;16.665;-1.370;56.520;81.479;74.198;157.462;156.365;-18.743;322.302
08b02Ff;Unique;85;Hap;19.431;-0.546;68.485;320.868;74.818;191.250;175.453;-16.819;263.026
08b02Ff;Unique;85;Hap;19.431;-0.546;68.485;320.868;74.818;191.250;175.453;-16.819;263.026
08b02La;Unique;86;Bor;9.817;-0.280;30.025;126.015;74.040;75.143;71.130;-26.796;198.485
08b02La;Unique;86;Bor;9.817;-0.280;30.025;126.015;74.040;75.143;71.130;-26.796;198.485
08b02Nb;Unique;87;Neu;11.221;-0.861;65.159;287.351;77.052;137.061;151.351;-24.775;269.711
08b02Nb;Unique;87;Neu;11.221;-0.861;65.159;287.351;77.052;137.061;151.351;-24.775;269.711
08b02Tc;Unique;88;Sad;7.305;-0.881;40.953;308.055;81.548;93.320;104.111;-27.919;270.401
08b02Tc;Unique;88;Sad;7.305;-0.881;40.953;308.055;81.548;93.320;104.111;-27.919;270.401
08b02Wd;Unique;89;Ang;19.437;0.201;84.612;220.279;73.052;171.207;177.828;-15.262;284.768
08b03Fe;Unique;90;Hap;14.844;-0.301;59.745;220.265;71.157;152.487;147.623;-18.872;329.864
08b03Fe;Unique;90;Hap;14.844;-0.301;59.745;220.265;71.157;152.487;147.623;-18.872;329.864
08b03Lc;Unique;91;Bor;9.930;-0.345;37.637;213.110;79.221;87.646;70.326;-26.557;237.232
08b03Lc;Unique;91;Bor;9.930;-0.345;37.637;213.110;79.221;87.646;70.326;-26.557;237.232
08b03Nb;Unique;92;Neu;12.776;-0.721;66.539;422.549;79.295;114.872;123.880;-26.384;358.591
08b03Nb;Unique;92;Neu;12.776;-0.721;66.539;422.549;79.295;114.872;123.880;-26.384;358.591
08b03Tc;Unique;93;Sad;5.908;-0.288;41.317;291.862;80.130;96.271;105.178;-31.635;317.041
08b03Tc;Unique;93;Sad;5.908;-0.288;41.317;291.862;80.130;96.271;105.178;-31.635;317.041
08b03Wd;Unique;94;Ang;17.440;0.000;64.707;189.938;67.732;145.112;164.487;-19.291;338.972
08b09Ab;Unique;95;Fea;17.305;-0.011;76.516;237.693;77.836;149.206;151.124;-25.503;298.896
08b09Ab;Unique;95;Fea;17.305;-0.011;76.516;237.693;77.836;149.206;151.124;-25.503;298.896
08b09Fd;Unique;96;Hap;16.292;-0.313;49.319;187.405;72.565;120.056;129.824;-20.016;274.109
08b09Fd;Unique;96;Hap;16.292;-0.313;49.319;187.405;72.565;120.056;129.824;-20.016;274.109
08b09Lc;Unique;97;Bor;8.481;-0.143;42.917;170.639;78.322;89.182;69.845;-28.828;248.403
08b09Lc;Unique;97;Bor;8.481;-0.143;42.917;170.639;78.322;89.182;69.845;-28.828;248.403
08b09Nb;Unique;98;Neu;10.031;-0.167;43.954;236.480;76.271;145.605;135.738;-27.147;237.497
08b09Nb;Unique;98;Neu;10.031;-0.167;43.954;236.480;76.271;145.605;135.738;-27.147;237.497
08b09Tb;Unique;99;Sad;5.889;-0.332;37.985;349.573;77.974;102.691;107.857;-32.460;296.506
08b09Tb;Unique;99;Sad;5.889;-0.332;37.985;349.573;77.974;102.691;107.857;-32.460;296.506
08b09Wa;Unique;100;Ang;18.514;-0.304;66.218;311.188;73.902;143.785;145.226;-18.358;288.282
08b09Wc;Unique;101;Ang;17.077;-0.588;57.667;138.110;72.565;121.988;119.905;-18.593;307.061
08b10Aa;Unique;102;Fea;16.538;-0.229;78.359;455.342;77.625;120.176;120.512;-23.294;280.010
08b10Aa;Unique;102;Fea;16.538;-0.229;78.359;455.342;77.625;120.176;120.512;-23.294;280.010
08b10Fd;Unique;103;Hap;15.512;-1.173;52.531;219.608;76.322;152.837;158.126;-19.858;261.014
08b10Fd;Unique;103;Hap;15.512;-1.173;52.531;219.608;76.322;152.837;158.126;-19.858;261.014
08b10La;Unique;104;Bor;8.806;-0.499;26.034;77.474;77.624;73.227;55.901;-27.272;214.385
08b10La;Unique;104;Bor;8.806;-0.499;26.034;77.474;77.624;73.227;55.901;-27.272;214.385
08b10Nc;Unique;105;Neu;9.858;-0.528;38.743;127.778;75.407;108.172;88.290;-27.204;303.627
08b10Nc;Unique;105;Neu;9.858;-0.528;38.743;127.778;75.407;108.172;88.290;-27.204;303.627
08b10Tc;Unique;106;Sad;6.736;-0.165;33.640;159.918;79.954;104.927;81.531;-30.008;321.009
08b10Tc;Unique;106;Sad;6.736;-0.165;33.640;159.918;79.954;104.927;81.531;-30.008;321.009
08b10Wa;Unique;107;Ang;17.145;-0.118;59.324;159.302;72.050;131.331;118.865;-16.882;267.117
09a01Ea;Unique;108;Dis;15.283;-0.684;29.021;109.938;75.061;119.786;100.564;-15.892;284.089
09a01Ea;Unique;108;Dis;15.283;-0.684;29.021;109.938;75.061;119.786;100.564;-15.892;284.089
09a01Fa;Unique;109;Hap;22.116;0.159;37.688;115.040;72.356;130.001;141.084;-4.565;198.850
09a01Fa;Unique;109;Hap;22.116;0.159;37.688;115.040;72.356;130.001;141.084;-4.565;198.850
09a01Nb;Unique;110;Neu;7.172;-1.303;43.210;203.249;76.821;92.209;107.572;-19.417;253.177
09a01Nb;Unique;110;Neu;7.172;-1.303;43.210;203.249;76.821;92.209;107.572;-19.417;253.177
09a01Wb;Unique;111;Ang;16.046;-1.114;60.126;261.318;71.398;136.048;157.369;-8.024;223.859
09a02Ea;Unique;112;Dis;16.698;0.776;41.317;163.868;72.619;97.435;99.195;-18.144;184.650
09a02Ea;Unique;112;Dis;16.698;0.776;41.317;163.868;72.619;97.435;99.195;-18.144;184.650
09a02Eb;Unique;113;Dis;14.616;-1.619;42.445;99.309;75.054;175.078;116.088;-18.356;236.646
09a02Eb;Unique;113;Dis;14.616;-1.619;42.445;99.309;75.054;175.078;116.088;-18.356;236.646
09a02La;Unique;114;Bor;8.794;-2.496;27.158;168.619;77.351;94.939;59.337;-25.723;215.790
09a02La;Unique;114;Bor;8.794;-2.496;27.158;168.619;77.351;94.939;59.337;-25.723;215.790
09a02Wb;Unique;115;Ang;15.567;-0.766;54.091;124.005;69.052;128.030;124.553;-15.899;255.264
09a04Fd;Unique;116;Hap;20.171;-0.472;66.096;228.784;69.189;152.248;134.158;-10.835;215.018
09a04Fd;Unique;116;Hap;20.171;-0.472;66.096;228.784;69.189;152.248;134.158;-10.835;215.018
09a04La;Unique;117;Bor;7.874;-0.848;33.353;156.994;77.305;72.709;66.311;-24.156;286.385
09a04La;Unique;117;Bor;7.874;-0.848;33.353;156.994;77.305;72.709;66.311;-24.156;286.385
09a04Nb;Unique;118;Neu;8.549;-1.244;28.626;208.245;77.427;105.730;97.703;-21.494;290.136
09a04Nb;Unique;118;Neu;8.549;-1.244;28.626;208.245;77.427;105.730;97.703;-21.494;290.136
09a04Wa;Unique;119;Ang;16.215;-1.819;47.129;407.815;69.345;127.875;131.210;-10.900;308.205
09a05Ed;Unique;120;Dis;14.522;0.219;67.894;283.424;76.322;120.236;113.950;-25.228;333.178
09a05Ed;Unique;120;Dis;14.522;0.219;67.894;283.424;76.322;120.236;113.950;-25.228;333.178
09a05Lc;Unique;121;Bor;7.900;-1.240;22.656;219.026;76.735;92.053;85.183;-27.461;299.287
09a05Lc;Unique;121;Bor;7.900;-1.240;22.656;219.026;76.735;92.053;85.183;-27.461;299.287
09a05Nb;Unique;122;Neu;9.785;-0.597;30.625;191.486;74.933;83.961;79.361;-32.294;297.585
09a05Nb;Unique;122;Neu;9.785;-0.597;30.625;191.486;74.933;83.961;79.361;-32.294;297.585
09a05Tb;Unique;123;Sad;7.468;-0.131;49.937;201.508;77.192;93.886;104.176;-27.002;310.890
09a05Tb;Unique;123;Sad;7.468;-0.131;49.937;201.508;77.192;93.886;104.176;-27.002;310.890
09a05Wb;Unique;124;Ang;19.043;-0.545;60.839;281.672;73.030;149.745;172.544;-14.246;324.974
09a05Wc;Unique;125;Ang;20.303;-0.314;55.789;241.255;70.642;167.675;182.689;-10.206;308.139
09a07Eb;Unique;126;Dis;13.232;-0.319;79.024;325.879;73.761;127.340;94.913;-23.893;267.494
09a07Eb;Unique;126;Dis;13.232;-0.319;79.024;325.879;73.761;127.340;94.913;-23.893;267.494
09a07Na;Unique;127;Neu;8.158;-1.112;33.056;245.473;80.397;129.022;95.528;-26.716;267.737
09a07Na;Unique;127;Neu;8.158;-1.112;33.056;245.473;80.397;129.022;95.528;-26.716;267.737
09a07Ta;Unique;128;Sad;8.951;-0.845;30.255;286.961;82.556;97.117;93.146;-28.969;249.310
09a07Ta;Unique;128;Sad;8.951;-0.845;30.255;286.961;82.556;97.117;93.146;-28.969;249.310
09a07Wb;Unique;129;Ang;22.538;-1.279;53.180;347.718;73.586;160.268;164.522;-8.835;240.918
09a07Wd;Unique;130;Ang;14.549;-0.638;55.561;204.069;74.119;114.426;87.840;-17.022;195.756
09b01Ea;Unique;131;Dis;18.250;-0.099;58.307;211.065;72.752;115.475;128.423;-18.549;245.275
09b01Ea;Unique;131;Dis;18.250;-0.099;58.307;211.065;72.752;115.475;128.423;-18.549;245.275
09b01Na;Unique;132;Neu;9.376;-2.255;37.180;319.113;78.303;140.375;134.170;-28.407;314.047
09b01Na;Unique;132;Neu;9.376;-2.255;37.180;319.113;78.303;140.375;134.170;-28.407;314.047
09b01Wb;Unique;133;Ang;17.321;-1.314;67.772;197.707;74.682;166.546;203.524;-14.624;339.485
09b02Na;Unique;134;Neu;7.430;-0.540;34.046;197.039;79.584;108.026;98.845;-23.510;253.795
09b02Na;Unique;134;Neu;7.430;-0.540;34.046;197.039;79.584;108.026;98.845;-23.510;253.795
09b02Tb;Unique;135;Sad;7.248;0.013;24.341;232.188;82.056;76.975;77.389;-26.570;270.105
09b02Tb;Unique;135;Sad;7.248;0.013;24.341;232.188;82.056;76.975;77.389;-26.570;270.105
